visitorid,itemid,interaction_weight
172.0,10034.0,1
172.0,465522.0,1
539.0,94371.0,1
627.0,414182.0,1
795.0,207825.0,1
914.0,382946.0,1
1032.0,243949.0,1
1765.0,330469.0,1
2019.0,393144.0,1
2019.0,445559.0,1
2242.0,402047.0,1
3174.0,45420.0,1
3258.0,19278.0,1
3258.0,353548.0,1
3896.0,407518.0,1
3926.0,187379.0,1
3936.0,172894.0,1
4115.0,98467.0,1
4241.0,340794.0,1
4368.0,258208.0,1
4694.0,138314.0,1
4694.0,371724.0,1
5061.0,102209.0,1
5117.0,241061.0,1
6390.0,158666.0,1
6468.0,65273.0,1
6468.0,289096.0,1
6618.0,49967.0,1
6911.0,382437.0,1
7016.0,32591.0,1
7016.0,411039.0,1
8516.0,248569.0,1
8731.0,305675.0,1
9079.0,224862.0,1
9099.0,330786.0,1
11209.0,185741.0,1
11209.0,272649.0,1
11209.0,387913.0,1
11333.0,403302.0,1
12067.0,144587.0,1
12148.0,193554.0,1
12506.0,232085.0,1
13151.0,265966.0,1
13151.0,339808.0,1
13455.0,48030.0,1
13833.0,182131.0,1
13833.0,334401.0,1
14796.0,284663.0,1
15852.0,182665.0,1
16158.0,136860.0,1
16945.0,383001.0,1
16975.0,413241.0,1
17591.0,458140.0,1
17676.0,869.0,1
17676.0,12905.0,1
17676.0,63543.0,1
17676.0,69917.0,1
17676.0,114735.0,1
17676.0,119267.0,1
17676.0,125399.0,1
17676.0,150797.0,1
17676.0,158666.0,1
17676.0,171031.0,1
17676.0,187119.0,1
17676.0,188051.0,1
17676.0,196659.0,1
17676.0,204790.0,1
17676.0,253024.0,1
17676.0,270383.0,1
17676.0,295184.0,1
17676.0,319900.0,1
17676.0,341701.0,1
17676.0,400568.0,1
17676.0,436217.0,1
17676.0,441852.0,1
17676.0,443931.0,1
17676.0,459546.0,1
17857.0,152100.0,1
18573.0,44172.0,1
18573.0,315911.0,1
18573.0,416017.0,1
19206.0,288340.0,1
19268.0,244819.0,1
19512.0,272880.0,1
21048.0,462461.0,1
21079.0,60323.0,1
21302.0,171814.0,1
21712.0,16344.0,1
21712.0,153874.0,1
